15min,30min,45min,60min,,,15min,30min,45min,60min
5.694433778,5.6786237,5.67330676,5.689315827,,,,,,
11.61329647,11.53166618,11.51730979,11.73484869,,,,,,
4.331937687,4.470189993,4.313719655,4.184685818,,,,,,
5.4827842,5.377066828,5.477139938,5.460461092,,,,,,
8.58421493,8.636414603,8.621860343,8.546537193,,,,,,
9.432420763,9.505289525,9.548373722,9.466386045,,,,,,
4.531437588,4.483712783,4.518349888,4.482093536,,,,,,
10.91377551,10.11302154,10.13032942,10.63317837,,,,,,
8.54584999,8.454497847,8.502139597,8.496840226,,,,,,
9.715827006,9.573621197,9.721177441,9.60081447,,,,,,
13.37483953,13.39227907,13.41674655,13.60109582,,,,,,
5.005965599,4.986789911,5.011124231,5.032263501,,,,,,
5.404361511,6.497064288,5.948011562,5.520898932,,,,,,
3.20397131,3.275747222,3.241943731,3.302354002,,,,,,
5.889070299,5.924769222,6.105662231,6.423198356,,,,,,
10.46688205,10.47235233,10.55311622,10.61116379,,,,,,
9.644716368,9.615421314,9.680148328,9.659881868,,,,,,
8.2985389,8.257134736,8.351438599,8.329402004,,,,,,
10.24629291,10.40437049,10.23745077,10.35608569,,,,,,
12.82718059,12.69854919,13.04354184,13.01512727,,,,,,
8.47691612,8.424210805,8.54835158,8.380388029,,,,,,
10.31328425,10.31257729,10.34244971,10.32611941,,,,,,
6.174110602,6.259601155,6.171397586,6.049843347,,,,,,
10.67758433,10.57831756,10.68247255,10.56475756,,,,,,
8.420929057,8.4184884,8.396899256,8.413442684,,,,,,
3.984095586,3.965024574,3.971181585,3.988773989,,,,,,
8.381527377,8.509055161,8.465373729,8.444041153,,,,,,
8.869058302,8.888603906,8.924738178,8.883526861,,,,,,
9.458559273,9.439049649,9.465105228,9.441554243,,,,,,
5.94771005,5.843105097,5.929253913,5.86424928,,,,,,
10.62560343,10.32894545,10.49137867,10.36409856,,,,,,
11.76760292,11.63779539,11.68356682,11.75081058,,,,,,
5.744594474,5.779638193,5.716205625,5.726607582,,,,,,
6.641261893,6.638705293,6.62508718,6.6111281,,,,,,
8.500253556,8.498434454,8.485442421,8.501939746,,,,,,
2.741823455,2.735928382,2.732269447,2.758564302,,,,,,
8.142598003,8.371952862,8.2111831,8.260177992,,,,,,
9.474708424,9.476942671,9.489275425,9.475693753,,,,,,
6.174396195,6.122377539,6.137378625,6.179443062,,,,,,
6.716399374,6.772050308,6.738559216,6.758600345,,,,,,
9.377826967,9.393692336,9.384069603,9.423694585,,,,,,
10.72374816,10.74288778,10.70704018,10.68375747,,,,,,
8.34975133,8.542934349,8.298078763,8.420057883,,,,,,
12.62589563,12.55063674,12.48487861,12.60180863,,,,,,
9.690666575,9.670433111,9.696461627,9.659939816,,,,,,
8.096322848,8.098694415,8.088455824,8.081442542,,,,,,
5.935807118,5.917076743,5.916585157,5.9198159,,,,,,
10.25601706,10.2556592,10.30379178,10.25138327,,,,,,
9.009589102,8.917096064,8.933316638,8.896587366,,,,,,
7.36664027,7.537711642,7.458745937,7.444526936,,,,,,
11.03806377,11.06072158,10.95582999,11.07469485,,,,,,
10.60269442,10.59841996,10.61610259,10.5946275,,,,,,
10.11335013,10.08822325,10.08168124,10.06330424,,,,,,
9.261010318,9.259200807,9.278824681,9.276194984,,,,,,
10.41988165,10.41719817,10.48117471,10.18592097,,,,,,
4.418744906,4.469854217,4.404943203,4.448134822,,,,,,
5.264182351,5.305517487,5.323377154,5.243160763,,,,,,
1.920572104,2.010744089,1.673253078,2.584364912,,,,,,
7.203113988,7.177766375,7.200855859,7.248812884,,,,,,
7.53129039,7.495682828,7.484335618,7.506483371,,,,,,
9.881471193,9.882153103,9.857008974,9.875943951,,,,,,
9.907754371,9.936053354,9.992777363,10.003775,,,,,,
10.81116198,10.80920424,10.81407354,10.79948774,,,,,,
8.809461759,8.782784994,8.782197686,8.760197768,,,,,,
8.044159348,8.154539201,8.120441857,8.113460761,,,,,,
10.82237771,10.80240655,10.72768191,10.71548363,,,,,,
8.21749595,8.218375153,8.218452937,8.214717042,,,,,,
